id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
881775,Vacation Sebea' s House with Pool ,4561878,Béatrice & Sébastien,Gradignan,Gradignan,44.75584,-0.62398,Entire home/apt,495,2,1,2013-05-13,0.01,8,22
881940,"""Katalpa"" for +12 with Pool & Spa",4561878,Béatrice & Sébastien,Gradignan,Gradignan,44.75432,-0.62315,Entire home/apt,495,2,17,2019-04-22,0.24,8,298
883986,Appartement dans centre ville,4681520,Christine,Bordeaux,Centre ville (Bordeaux),44.84011,-0.58405,Entire home/apt,55,2,0,,,1,0
888556,CHAMBRE COSY AU CALME 1,992322,Francoise,Bordeaux,Caudran,44.84738,-0.60446,Private room,60,3,2,2015-09-05,0.03,2,365
909744,NEW QUIET SUNNY IN THE HEART OF BX,3338315,Loic,Bordeaux,Centre ville (Bordeaux),44.83944,-0.57401,Entire home/apt,70,1,181,2019-05-21,2.74,2,0
913857,"Chambre à louer à la nuit, à la semaine",4904893,Nicolas,Ambars-et-Lagrave,Ambars-et-Lagrave,44.92077,-0.5036,Private room,25,1,3,2019-04-12,0.80,1,326
918959,MY BED AND BREAKFAST IN BORDEAUX,4821971,Martine,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82729,-0.5914,Private room,85,1,0,,,1,310
920432,LUMINEUX ET AGREABLE APPARTEMENT,4394250,Beatrice,Bordeaux,Nansouty - Saint Gens,44.81729,-0.56617,Entire home/apt,43,365,4,2018-03-31,0.13,1,365
921237,CHAMBRE DANS MAISON DE CHARME,4951342,Jean-Francois,Talence,Talence,44.82142,-0.59232,Private room,50,1,10,2019-04-28,0.18,1,324
939481,Chambre avec jardin et petit dej,2468244,Audrey,Bordeaux,Bordeaux Sud,44.83247,-0.56343,Private room,40,1,184,2019-05-17,2.43,2,304
941005,Appart comme une maison dans une ancienne fromagerie,5086197,Dominique,Bordeaux,Centre ville (Bordeaux),44.83984,-0.59282,Entire home/apt,80,5,33,2018-09-01,0.44,1,245
943643,Lovely house with garden in center of Bordeaux,5105947,Mathieu,Le Bouscat,Le Bouscat,44.86333,-0.6185,Entire home/apt,78,4,47,2019-04-22,0.65,2,13
945340,studio idéalement situé,2280426,Romain Et Pascale,Bordeaux,Centre ville (Bordeaux),44.83717,-0.56826,Entire home/apt,25,28,160,2019-04-20,2.21,3,101
953206,B&B Solenne room Bordeaux City Center,675681,Frédérique,Bordeaux,Centre ville (Bordeaux),44.83891,-0.57348,Private room,110,2,8,2016-09-05,0.11,4,107
953240,B&B Marine's room Bordeaux City Center,675681,Frédérique,Bordeaux,Centre ville (Bordeaux),44.84018,-0.57147,Private room,90,2,7,2019-05-17,0.10,4,96
956104,Chambre avec Piscine Proche Bordeaux Idéal Vinexpo,5195865,Stéphanie,Blanquefort,Blanquefort,44.9222,-0.64419,Private room,58,1,21,2018-08-20,0.30,1,328
956277,chambre lumineuse au calme 2,992322,Francoise,Bordeaux,Caudran,44.84852,-0.60524,Private room,60,1,8,2019-04-28,0.11,2,363
963831,Chambre Gingembre,4120980,Yolande,Bgles,Bgles,44.80853,-0.56613,Private room,75,2,0,,,3,365
963875,Chambre Piment,4120980,Yolande,Bgles,Bgles,44.80897,-0.56688,Private room,95,2,0,,,3,365
964043,City center and charm,2658645,Charlotte,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.8461,-0.57913,Entire home/apt,150,4,5,2019-04-14,0.14,2,297
964117,Chambre Safran familiale,4120980,Yolande,Bgles,Bgles,44.80751,-0.56645,Private room,115,2,0,,,3,360
965115,Appartement Bordeaux,5261989,Alfred,Bordeaux,Bordeaux Sud,44.82522,-0.55167,Entire home/apt,70,2,6,2016-04-29,0.08,1,360
981420,Chambre et Sdb privés - Tourny-Gambetta,2658645,Charlotte,Bordeaux,Centre ville (Bordeaux),44.84478,-0.58103,Private room,50,3,5,2019-04-05,0.79,2,299
983446,"superbeT2  jardin plein sud, ancien, très agréable",5390149,Helene,Bordeaux,La Bastide,44.84439,-0.54651,Entire home/apt,55,6,8,2019-04-20,0.12,1,0
989881,Cosy and quiet house with garden,5434457,Laetitia,Cenon,Plaisance-Loret-Maregue,44.86159,-0.50759,Entire home/apt,69,2,28,2018-08-17,0.38,1,249
994398,Very Luminous for 4 pers.,4310833,Jean-Christophe,Bordeaux,Centre ville (Bordeaux),44.83581,-0.5733,Entire home/apt,190,3,5,2018-05-09,0.07,15,120
1000233,1 nice bed & breakfast close to Bordeaux,5499035,Isabelle,Pessac,France Alouette,44.8001,-0.67728,Private room,75,2,2,2016-06-26,0.04,2,291
1007407,TERRASSES SAINT PIERRE,5541484,Thierry D,Bordeaux,Centre ville (Bordeaux),44.84067,-0.57161,Entire home/apt,170,3,129,2019-04-23,1.80,1,88
1025361,Welcome to our place !,5113450,Lila,Merignac,La Glacire,44.83605,-0.62328,Private room,38,1,122,2019-05-19,2.71,1,309
1050632,"""Romarine""Outdoor Bed & breakfast",5783739,Martine,Le Bouscat,Le Bouscat,44.85917,-0.60385,Private room,80,2,27,2017-08-11,0.37,2,294
1050804,Très belle échoppe proche bordeaux,5783453,Catherine,Bordeaux,Nansouty - Saint Gens,44.81366,-0.56745,Entire home/apt,80,2,35,2019-05-16,0.48,1,333
1065379,charming appartment down town,5862003,Laurent,Bordeaux,Centre ville (Bordeaux),44.83608,-0.5747,Entire home/apt,70,4,10,2019-03-10,0.17,1,142
1083031,"Historic Bordeaux, Charming 110m2",5954504,Nicole,Bordeaux,Centre ville (Bordeaux),44.84271,-0.57378,Entire home/apt,118,7,22,2018-09-25,0.31,1,204
1086736,Grande maison pleine de charme 230,3973708,Alexandra,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83043,-0.58223,Entire home/apt,280,2,101,2019-05-12,2.01,3,299
1094287,Room with garden center of Bordeaux,5502963,Nadia,Bordeaux,Nansouty - Saint Gens,44.8242,-0.5784,Private room,55,2,25,2018-08-24,0.34,1,83
1097322,"Large wooden house,  holidays free",5513545,Sophie,Bouliac,Bouliac,44.80742,-0.49851,Entire home/apt,240,7,0,,,1,8
1108832,Beautiful pool house near BORDEAUX,6087321,Pierre,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89249,-0.71023,Entire home/apt,247,6,2,2018-08-18,0.21,2,267
1109000,Maison style colonial à Bordeaux,6088135,Veronique,Le Bouscat,Le Bouscat,44.86135,-0.59313,Entire home/apt,220,3,13,2019-05-13,0.28,1,306
1109639,Loft 150m² avec piscine et climatisation BORDEAUX,6068524,Audrey,Bordeaux,Nansouty - Saint Gens,44.81385,-0.56496,Entire home/apt,281,3,15,2018-08-14,0.21,1,248
1116630,Charme T3 Balcon coeur de bordeaux,6128626,Olivier,Bordeaux,Centre ville (Bordeaux),44.83699,-0.56892,Entire home/apt,120,5,86,2019-05-15,1.17,1,150
1117474,INCROYABLE T3 EN HYPERCENTRE,6133211,Crystel,Bordeaux,Centre ville (Bordeaux),44.83883,-0.56886,Entire home/apt,110,3,273,2019-05-07,3.72,2,244
1120880,Townhouse bordering Bordeaux,6149041,Virginie Et Robin,Lormont,Lormont,44.87816,-0.53341,Entire home/apt,110,4,4,2016-06-19,0.06,1,264
1131701,Bordeaux chambre hôte vue piscine,6208425,Elisabeth,Bordeaux,Caudran,44.85657,-0.62001,Private room,110,2,2,2013-06-21,0.03,1,362
1136724,House Garden Garage Maison jardin,3774373,Stéphane & Virginie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83004,-0.58708,Entire home/apt,76,2,351,2019-05-17,4.86,3,266
1152740,Une chambre  - echoppe Bordeaux,6288665,Pascal,Bordeaux,La Bastide,44.84295,-0.54961,Private room,45,2,29,2018-10-05,0.51,1,364
1161946,CHAMBRE studio indépendante  SUR JARDIN salle eau,6364913,Christine,Lormont,Lormont,44.88214,-0.49716,Private room,24,2,29,2019-04-26,0.40,1,40
1165770,"Grande maison, jardin, 5 Chambres",6384904,Leila,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85507,-0.58186,Entire home/apt,299,4,30,2019-04-22,0.81,1,256
1172803,PATIO STUDIO  CENTRE,1029070,Louis,Bordeaux,Bordeaux Sud,44.83402,-0.5745,Entire home/apt,43,2,514,2019-05-11,7.12,5,176
1182098,Loft Saint Michel - Bordeaux,6466588,Christophe,Bordeaux,Bordeaux Sud,44.83297,-0.56999,Entire home/apt,176,2,17,2019-05-12,0.78,1,207
1185900,Centre Bordeaux cabane de charme,6486165,Fabienne,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85516,-0.58596,Entire home/apt,84,1,67,2019-04-30,1.08,1,326
1188231,Lovely Apartment City Center A/C,1029070,Louis,Bordeaux,Bordeaux Sud,44.83312,-0.57385,Entire home/apt,66,2,350,2019-05-17,4.90,5,150
1190768,charming apartment in historical downtown,6509285,Clement,Bordeaux,Bordeaux Sud,44.83224,-0.56815,Entire home/apt,80,4,11,2019-05-18,0.18,1,7
1196034,historic city Triplex with terrace,6056113,Nathalie,Bordeaux,Bordeaux Sud,44.83123,-0.5673,Entire home/apt,200,3,25,2018-09-01,0.35,1,0
1203069,Amazing T3 downtown + parking free,6571433,Antoine,Bordeaux,Centre ville (Bordeaux),44.83831,-0.57555,Entire home/apt,95,2,316,2019-05-17,5.27,1,146
1209361,nice bungalow garden near Bordeaux,6604469,Olivier,Lormont,Lormont,44.88074,-0.50103,Entire home/apt,120,2,25,2018-05-13,0.35,1,237
1211924,Centre-ville maison 3 ch au calme avec jardin,6616722,Lily,Bordeaux,Centre ville (Bordeaux),44.84786,-0.59367,Entire home/apt,140,2,90,2019-04-29,1.30,1,296
1227141,"T2 independant, charme et détente.",6693475,Cristina,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89443,-0.74962,Entire home/apt,84,2,19,2019-04-22,0.38,1,308
1241376,Sunny Apartment Centre/AC,1029070,Louis,Bordeaux,Bordeaux Sud,44.83377,-0.57468,Entire home/apt,48,2,399,2019-05-17,5.67,5,31
1242294,BEAUTIFUL 1 BEDROOM FLAT HEART OF THE OLD TOWN,5563943,Xavier,Bordeaux,Centre ville (Bordeaux),44.84064,-0.57645,Entire home/apt,70,1,614,2019-05-19,8.50,1,229
1244514,Le Gîte Marengo vous accueille ,5445103,Pierre,Bordeaux,Bordeaux Sud,44.83355,-0.56959,Entire home/apt,89,2,5,2015-04-05,0.07,1,276
1250274,VERY NICE 56M² VERY CLOSE TO  HOTEL PALAIS GALLIEN,6581487,Virginie,Bordeaux,Centre ville (Bordeaux),44.84699,-0.58337,Entire home/apt,55,2,17,2019-05-11,0.24,1,340
1251926,House between Bordeaux and Lacanau,6821197,Christophe,Saint-Aubin-de-Mdoc,Saint-Aubin-de-Mdoc,44.93339,-0.75739,Entire home/apt,225,7,5,2018-08-04,0.15,1,8
